cumpop,L_utci_mean,L_tsd,L_hdh
0.0008665343918033562,0.0008117901527605125,0.00047811705287899726,0.0005541821733002309
0.0008680381781980209,0.0008132068719869616,0.00047899744565516587,0.0005551936166986951
0.0008695312152826962,0.0008146134642737154,0.00047987154524042853,0.0005561978301350679
0.0008708276184988518,0.0008158348075230455,0.00048063052539249965,0.0005570697880669792
0.0008721200292112527,0.0008170523894291082,0.00048138716813050925,0.0005579390606497077
0.0008730451157125435,0.00081792391469171,0.00048192876065718536,0.0005585612717815936
0.0008739309856180088,0.0008187584939455576,0.00048244739380093766,0.0005591571059179842
0.0008748145775397607,0.000819590927107822,0.00048296469329756254,0.0005597514078875745
0.0008756987917184392,0.0008204239464991911,0.0004834823570949319,0.0005603461283857952
0.0008765520997447561,0.0008212278491619997,0.00048398192686420325,0.0005609200614743886
0.0008774688435172703,0.0008220915147283701,0.000484518635134595,0.0005615366613053767
0.0008796341465948001,0.0008241314497297171,0.0004857863133064659,0.0005629930393596084
0.0008817653309614059,0.0008261392414466725,0.00048703401665562524,0.0005644264692444385
0.0008834402080365416,0.0008277171454380254,0.0004880145745880227,0.0005655529878556557
